"GEOID","COUNTY","POWERCO","POP07","POP08","POP09","POP10","POP11","MEDIANAGE","AGEDUMMY","PCTWHITE","HHTOT","HHSIZE","HHBYPOP07","HHBYPOP08","HHBYPOP09","HHBYPOP10","HHBYPOP11","HHNONRENT","HHPCTRENTEROCCUPIED","CITYSOLARPOT","PCTWEALTHY","MEDIANINCOME","PWRPRICE2007","PWRPRICE2008","PWRPRICE2009","PWRPRICE2010","PWRPRICE2011","HHS_OO07","HHS_OO08","HHS_OO09","HHS_OO10","PCTWEALTHOOH07","PCTWEALTHOOH08","PCTWEALTHOOH09","PCTWEALTHOOH10","TOTALOOH07","TOTALOOH08","TOTALOOH09","TOTALOOH10","TOTALHH07","TOTALHH08","TOTALHH09","TOTALHH10","PCTVET07","PCTVET08","PCTVET09","PCTVET10","PCTBS07","PCTBS08","PCTBS09","PCTBS10","PCTBS_FULL","PCTGRAD_FULL","PCTVETERANS","REP","city"
600296,"San Bernardino","SCE",29181,30526,31087,31764,31671,25.2999992370605,0,43.7999992370605,7809,3.83999991416931,7599.22021484375,7949.47998046875,8095.56982421875,8271.8798828125,8247.66015625,5790,42.2000007629395,6.35,1.874,31594,0.148000001907349,0.150000005960464,0.155000001192093,0.158999994397163,0.159999996423721,3.374,3.563,3.646,3.693,0.055736882,0.053024825,0.060559796,0.138922156,3983,4149,3930,4175,6576,6929,6576,7164,0.061362266,0.059318129,0.072403901,0.080956466,0.076,0.076,0.056,0.086,6.19999980926514,2,6.86999988555908,1,"Adelanto"
600394,"Los Angeles","SCE",20995,20770,20569,20398,20393,42.4000015258789,1,84.3000030517578,7327,2.75999999046326,7606.8798828125,7525.35986328125,7452.5400390625,7390.580078125,7388.77001953125,5973,22,5.7,42.339,87008,0.148000001907349,0.150000005960464,0.155000001192093,0.158999994397163,0.159999996423721,2.859,2.87,2.845,2.877,0.614150775,0.569257045,0.613767326,0.617104814,5611,5855,6421,5858,7108,7376,7829,7124,0.057868973,0.058347932,0.061071074,0.067184313,0.591,0.589,0.625,0.591,34.7000007629395,25,6.03000020980835,0,"Agoura Hills"
600562,"Alameda","PG&E",72031,72598,73166,73717,74081,40.7000007629395,1,50.7999992370605,30123,2.40000009536743,30012.919921875,30249.169921875,30485.830078125,30715.419921875,30867.080078125,16716,51.9000015258789,5.26,22.578,56285,0.151999995112419,0.150000005960464,0.163000002503395,0.163000002503395,0.157000005245209,2.518,2.439,2.465,2.519,0.489046082,0.52549314,0.509035456,0.517985612,14561,14651,13115,13622,29287,29851,27268,28444,0.091061375,0.095866149,0.085132375,0.082477671,0.455,0.449,0.456,0.451,28.3999996185303,17.2000007629395,8.35999965667725,0,"Alameda"
600674,"Alameda","PG&E",17332,17298,18196,18481,18622,37,1,54.5999984741211,7401,2.49000000953674,6960.64013671875,6946.990234375,7307.6298828125,7422.08984375,7478.7099609375,4062,51.7000007629395,5.26,18.837,54919,0.151999995112419,0.150000005960464,0.163000002503395,0.163000002503395,0.157000005245209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.8999996185303,37,4.88000011444092,0,"Albany"
600884,"Los Angeles","SCE",84096,83551,83221,83220,83450,39.2999992370605,1,28.2999992370605,29217,2.8199999332428,29821.279296875,29628.009765625,29510.990234375,29510.640625,29592.19921875,13614,59.2000007629395,5.66,9.442,39213,0.148000001907349,0.150000005960464,0.155000001192093,0.158999994397163,0.159999996423721,2.885,2.837,2.83,2.78,0.30828913,0.309525733,0.328367772,0.328989951,12631,12377,12486,11742,28535,28625,28801,28738,0.036193942,0.032474399,0.030670597,0.034345379,0.334,0.309,0.305,0.301,21.2000007629395,10.3999996185303,3.21000003814697,0,"Alhambra"
600947,"Orange","CCSE",45604,46131,46751,47411,48320,35.0999984741211,0,72,18204,2.59999990463257,17540,17742.689453125,17981.150390625,18235,18584.619140625,11712,39.2999992370605,5.64,30.828,76409,0.159999996423721,0.156000003218651,0.180999994277954,0.177000001072884,0.184000000357628,2.503,2.592,2.563,2.596,0.537151977,0.56440425,0.567960678,0.552056221,11278,11389,9969,11526,18009,17860,15990,18322,0.057432733,0.060241323,0.050127526,0.044654052,0.536,0.54,0.54,0.539,37.7999992370605,15.1999998092651,4.78999996185303,1,"Aliso Viejo"
601444,"Humboldt","PG&E",2835,2821,2812,2822,2822,39.9000015258789,1,86,1238,2.26999998092651,1248.90002441406,1242.72998046875,1238.77001953125,1243.17004394531,1243.17004394531,860,44.2000007629395,5.37,6.255,24351,0.151999995112419,0.150000005960464,0.163000002503395,0.163000002503395,0.157000005245209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6000003814697,5.40000009536743,11.9499998092651,1,"Alturas"
601640,"Napa","PG&E",17585,18188,18731,19322,19693,35.5,0,38.9000015258789,5657,3.4300000667572,5126.81982421875,5302.6201171875,5460.93017578125,5633.240234375,5741.39990234375,4768,21.5,5.53,10.272,52105,0.151999995112419,0.150000005960464,0.163000002503395,0.163000002503395,0.157000005245209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.2999992370605,6.90000009536743,9.71000003814697,0,"American Canyon"
602000,"Orange","CCSE",329780,330659,332120,336208,341034,32.4000015258789,0,52.7000007629395,98294,3.38000011444092,97568.046875,97828.109375,98260.359375,99469.8203125,100897.6328125,53620,51.5,5.64,14.502,47122,0.159999996423721,0.156000003218651,0.180999994277954,0.177000001072884,0.184000000357628,3.173,3.175,3.136,3.145,0.363336254,0.400689853,0.382460517,0.384500498,49073,48706,47299,48208,96930,96837,96679,99664,0.059753159,0.057912861,0.054690304,0.048768616,0.221,0.224,0.223,0.234,16.3999996185303,6.69999980926514,5.30999994277954,1,"Anaheim"
602042,"Shasta","PG&E",9919,9846,9969,9937,10005,34.0999984741211,0,83.3000030517578,3944,2.51999998092651,3936.11010742188,3907.13989257812,3955.94995117188,3943.25,3970.23999023438,2155,52.0999984741211,5.52,1.461,24558,0.151999995112419,0.150000005960464,0.163000002503395,0.163000002503395,0.157000005245209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.69999980926514,3.40000009536743,11.8000001907349,1,"Anderson"
602252,"Contra Costa","PG&E",99098,99854,100956,102277,103054,33.7999992370605,0,48.9000015258789,32252,3.15000009536743,31459.6796875,31699.6796875,32049.51953125,32468.890625,32715.560546875,23348,35.7000007629395,5.36,19.086,60359,0.151999995112419,0.150000005960464,0.163000002503395,0.163000002503395,0.157000005245209,3.027,2.99,3.022,2.947,0.359550562,0.397590361,0.36895372,0.344114688,23496,22327,21046,19880,32217,31369,31098,31515,0.09521918,0.083213056,0.077694703,0.076788394,0.209,0.208,0.206,0.194,15.3999996185303,4.69999980926514,8.06999969482422,0,"Antioch"
602364,"San Bernardino","SCE",69127,68776,68828,69089,69668,37,1,69.0999984741211,23598,2.91000008583069,23754.98046875,23634.359375,23652.23046875,23741.919921875,23940.890625,18816,30.8999996185303,6.35,9.698,40421,0.148000001907349,0.150000005960464,0.155000001192093,0.158999994397163,0.159999996423721,2.787,2.729,2.762,2.755,0.232324478,0.256556804,0.276966617,0.275872936,16223,15747,15547,15866,22697,22928,22592,22752,0.150633042,0.127225014,0.120903191,0.12440837,0.159,0.16,0.155,0.171,9.80000019073486,6.40000009536743,13.4399995803833,1,"Apple Valley"
602462,"Los Angeles","SCE",55607,55707,55975,56304,56548,43.0999984741211,1,32.2999992370605,19592,2.82999992370605,19649.119140625,19684.44921875,19779.150390625,19895.41015625,19981.630859375,13465,36.9000015258789,5.66,23.861,56100,0.148000001907349,0.150000005960464,0.155000001192093,0.158999994397163,0.159999996423721,2.932,2.978,2.937,2.919,0.494889937,0.512724072,0.518174981,0.502913268,12720,12496,11967,12014,19618,19398,19019,19334,0.054918795,0.056645404,0.055765747,0.053061505,0.491,0.507,0.521,0.535,33.0999984741211,19.2000007629395,5.15000009536743,0,"Arcadia"
