"city","county","PACE.start"
"Downey","Los Angeles",NA
"Rancho Palos Verdes","Los Angeles",NA
"Alpine","San Diego",NA
"alpine","San Diego",NA
"ALPINE","San Diego",NA
"Chula Vista","San Diego",NA
"San Diego","San Diego",NA
"Bonita","San Diego",NA
"BONITA","San Diego",NA
"bonita","San Diego",NA
"Boulevard","San Diego",NA
"Live Oak Springs","San Diego",NA
"Jacumba","San Diego",NA
"Campo","San Diego",NA
"CAMPO","San Diego",NA
"CHULA VISTA","San Diego",NA
"Chula vista","San Diego",NA
"Descanso","San Diego",NA
"DESCANSO","San Diego",NA
"Dulzura","San Diego",NA
"Guatay","San Diego",NA
"Imperial Beach","San Diego",NA
"IMPERIAL BEACH","San Diego",NA
"Jamul","San Diego",NA
"JAMUL","San Diego",NA
"La Mesa","San Diego",NA
"la mesa","San Diego",NA
"LA MESA","San Diego",NA
"la Mesa","San Diego",NA
"Lemon Grove","San Diego",NA
"LEMON GROVE","San Diego",NA
"Mount Laguna","San Diego",NA
"National City","San Diego",NA
"National city","San Diego",NA
"Pine Valley","San Diego",NA
"Potrero","San Diego",NA
"SPRING VALLEY","San Diego",NA
"Spring Valley","San Diego",NA
"Spring VALLEY","San Diego",NA
"Bonsall","San Diego",NA
"BONSALL","San Diego",NA
"Borrego springs","San Diego",NA
"Borrego Springs","San Diego",NA
"borego springs","San Diego",NA
"Cardiff by the Sea","San Diego",NA
"Cardiff","San Diego",NA
"Cardiff By The Sea","San Diego",NA
"CARDIFF","San Diego",NA
"Carlsbad","San Diego",NA
"CARLSBAD","San Diego",NA
"carlsbad","San Diego",NA
"Rancho La Costa","San Diego",NA
"Carslabd","San Diego",NA
"Carslbad","San Diego",NA
"Del Mar","San Diego",NA
"Solana Beach","San Diego",NA
"DEL MAR","San Diego",NA
"el cajon","San Diego",NA
"El Cajon","San Diego",NA
"EL CAJON","San Diego",NA
"El cajon","San Diego",NA
"Crest","San Diego",NA
"El CAJON","San Diego",NA
"Lakeside","San Diego",NA
"El Cajon, California","San Diego",NA
"Encinitas","San Diego",NA
"encinitas","San Diego",NA
"Leucadia","San Diego",NA
"ENCINITAS","San Diego",NA
"Escondido","San Diego",NA
"ESCONDIDO","San Diego",NA
"Escondio","San Diego",NA
"escondido","San Diego",NA
"Escondido, CA 92026","San Diego",NA
"Fallbrook","San Diego",NA
"fallbrook","San Diego",NA
"FALLBROOK","San Diego",NA
"Fallbrok","San Diego",NA
"Rainbow","San Diego",NA
"Escondidio","San Diego",NA
"Julian","San Diego",NA
"La Jolla","San Diego",NA
"la jolla","San Diego",NA
"LaJolla","San Diego",NA
"LA JOLLA","San Diego",NA
"La jolla","San Diego",NA
"LAKESIDE","San Diego",NA
"lakeside","San Diego",NA
"OCEANSIDE","San Diego",NA
"Oceanside","San Diego",NA
"Camp Pendleton","San Diego",NA
"oceanside","San Diego",NA
"Pala","San Diego",NA
"PALA","San Diego",NA
"Pauma Valley","San Diego",NA
"Poway","San Diego",NA
"POWAY","San Diego",NA
"poway","San Diego",NA
"San Marcos","San Diego",NA
"Ramona","San Diego",NA
"RAMONA","San Diego",NA
